,BM25,Dense,Hybrid (alpha=0.5)
Precision@5,0.14285714285714285,0.1795918367346939,0.17653061224489797
Recall@5,0.6318027210884354,0.810374149659864,0.7950680272108844
MRR,0.39719387755102037,0.5195578231292517,0.49107142857142855
Avg Time (sec),0.06675030503954206,0.011340400394128293,0.08569575207574028
Num Queries Evaluated,196.0,196.0,196.0
