,alpha=0.0,alpha=0.2,alpha=0.3,alpha=0.5,alpha=0.7,alpha=0.8,alpha=1.0
Precision@5,0.1795918367346939,0.19183673469387755,0.19081632653061223,0.17653061224489797,0.16326530612244897,0.15816326530612246,0.14285714285714285
Recall@5,0.810374149659864,0.8690476190476191,0.8639455782312926,0.7950680272108844,0.7287414965986395,0.7006802721088435,0.6318027210884354
MRR,0.5204081632653061,0.5368197278911565,0.5467687074829932,0.49107142857142855,0.4381802721088436,0.42738095238095236,0.39719387755102037
Avg Time (sec),0.08550907641041036,0.09119680706335574,0.08647701448323775,0.09099141432314503,0.09572228485224199,0.08603220204917753,0.08882549222634763
Num Queries Evaluated,196.0,196.0,196.0,196.0,196.0,196.0,196.0
